Player,Nation,Position,Age,Matches Played,Minutes,Goals,Assists,Penalty Goals Made,Yellow Cards,Red Cards,Progressive Carries,Progressive Passes,Goals Per 90,Assists Per 90,xG Per 90,xAG Per 90,High_Performer
Álex Suárez,ESP,DF,31,30,313.0,0,0,0,12,0,6,53,0.0,0.0,0.02,0.0,0
Javier Muñoz,ESP,"MT,DF",29,35,313.0,1,3,0,5,0,36,108,0.03,0.1,0.04,0.09,1
Scott McKenna,SCO,DF,27,29,313.0,0,0,0,5,1,11,45,0.0,0.0,0.04,0.03,0
Mika Mármol,ESP,DF,23,30,313.0,0,1,0,5,0,33,106,0.0,0.04,0.02,0.06,0
Jasper Cillessen,NED,GB,35,27,313.0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0
Dario Essugo,POR,MT,19,27,313.0,1,0,0,11,2,18,76,0.05,0.0,0.03,0.02,1
Viti,ESP,DF,26,29,313.0,0,2,0,5,0,43,44,0.0,0.09,0.0,0.06,0
Fábio Silva,POR,AT,22,24,313.0,10,3,2,7,0,30,26,0.48,0.14,0.42,0.1,1
Kirian Rodríguez,ESP,MT,28,21,313.0,0,3,0,2,0,25,128,0.0,0.15,0.08,0.07,0
Oliver McBurnie,SCO,AT,28,34,313.0,3,6,0,3,0,7,27,0.15,0.29,0.24,0.14,1
Álex Muñoz,ESP,DF,30,21,313.0,3,0,0,3,0,15,45,0.19,0.0,0.05,0.03,1
Juan Herzog,ESP,DF,21,19,313.0,0,0,0,1,0,0,27,0.0,0.0,0.06,0.0,0
José Campaña,ESP,MT,31,25,313.0,0,3,0,5,0,11,87,0.0,0.23,0.01,0.07,0
Stefan Bajcetic,ESP,"MT,DF",19,14,969.0,1,0,0,4,0,8,39,0.09,0.0,0.03,0.02,1
Dinko Horkaš,CRO,GB,25,13,313.0,0,0,0,1,0,0,2,0.0,0.0,0.0,0.0,0
Enzo Loiodice,FRA,MT,23,17,684.0,0,0,0,3,0,3,31,0.0,0.0,0.04,0.02,0
Adnan Januzaj,BEL,"MT,AT",29,18,598.0,2,1,0,5,0,24,41,0.3,0.15,0.13,0.16,1
Andy Pelmard,FRA,DF,24,4,205.0,0,0,0,1,0,1,13,0.0,0.0,0.0,0.02,0
Sergio Viera,ESP,MT,19,2,96.0,0,0,0,1,0,0,2,0.0,0.0,0.02,0.0,0
Daley Sinkgraven,NED,DF,29,2,91.0,0,0,0,0,0,2,3,0.0,0.0,0.0,0.02,0
Fabio González,ESP,MT,27,2,53.0,0,0,0,0,0,0,6,0.0,0.0,0.12,0.0,0
Diego Martín,ESP,AT,20,2,40.0,0,0,0,0,0,1,2,0.0,0.0,0.08,0.0,0
Arturo Rodríguez,ESP,AT,17,1,21.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0
Pejiño,ESP,AT,28,1,16.0,0,0,0,0,0,1,1,0.0,0.0,0.17,0.0,0
José Carlos González,ESP,DF,18,1,11.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0
Valentín Pezzolesi,ESP,DF,17,1,6.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0
Aboubacar Bassinga,CIV,MT,19,1,4.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0
Karl Jakob Hein,EST,GB,22,31,313.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0
Luis Pérez,ESP,DF,29,30,313.0,0,0,0,2,0,41,89,0.0,0.0,0.01,0.07,0
Raúl Moro,ESP,"MT,AT",21,33,313.0,4,5,0,2,0,112,81,0.15,0.19,0.16,0.22,1
Javi Sánchez,ESP,DF,27,25,313.0,2,0,0,6,0,4,34,0.09,0.0,0.02,0.01,1
Lucas Oliveira Rosa,BRA,DF,24,21,313.0,0,1,0,6,0,31,50,0.0,0.05,0.04,0.09,0
Anuar,MAR,"MT,AT",29,26,313.0,2,0,0,7,0,24,30,0.1,0.0,0.09,0.06,1
Mario Martín,ESP,MT,20,30,313.0,0,1,0,8,3,18,66,0.0,0.05,0.09,0.07,0
Stanko Jurić,CRO,MT,27,26,313.0,0,0,0,7,1,5,57,0.0,0.0,0.04,0.02,0
Selim Amallah,MAR,MT,27,24,313.0,3,1,1,6,0,24,57,0.2,0.07,0.23,0.07,1
David Torres,ESP,DF,21,18,313.0,0,0,0,5,0,11,37,0.0,0.0,0.02,0.0,0
Juanmi Latasa,ESP,AT,23,28,313.0,3,0,0,6,1,3,17,0.19,0.0,0.27,0.06,1
Kike Pérez,ESP,MT,27,19,313.0,2,0,0,6,0,19,67,0.15,0.0,0.16,0.08,1
Marcos André,BRA,AT,27,22,313.0,1,2,0,5,0,11,16,0.08,0.15,0.2,0.06,1
Antonio Candela,ITA,DF,24,12,906.0,0,0,0,1,0,16,22,0.0,0.0,0.0,0.08,0
Iván Sánchez,ESP,"MT,AT",31,32,313.0,2,1,0,4,0,60,77,0.13,0.06,0.04,0.19,1
Adam Aznou,MAR,DF,18,13,876.0,0,0,0,1,0,16,25,0.0,0.0,0.03,0.03,0
Juma Bah,SLE,DF,18,12,864.0,0,0,0,1,0,0,13,0.0,0.0,0.03,0.0,0
Tamás Nikitscher,HUN,"MT,DF",24,13,858.0,0,0,0,2,0,2,13,0.0,0.0,0.01,0.0,0
Chuky san jose,ESP,MT,20,18,728.0,2,0,0,1,0,6,15,0.25,0.0,0.28,0.15,1
Cenk Özkacar,TUR,DF,23,11,757.0,0,0,0,1,0,2,15,0.0,0.0,0.01,0.0,0
Darwin Machís,VEN,"MT,AT",31,18,639.0,0,1,0,0,0,17,19,0.0,0.14,0.12,0.07,0
Florian Grillitsch,AUT,MT,28,13,623.0,0,0,0,1,0,9,38,0.0,0.0,0.01,0.1,0
Joseph Aidoo,GHA,DF,28,8,583.0,0,0,0,0,0,1,14,0.0,0.0,0.01,0.0,0
André Ferreira,POR,GB,28,6,540.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0
Henrique,BRA,DF,30,5,352.0,0,0,0,0,0,2,12,0.0,0.0,0.01,0.01,0
Enzo Boyomo,CMR,DF,22,3,270.0,0,0,0,0,0,1,7,0.0,0.0,0.02,0.0,0
Víctor Meseguer,ESP,MT,25,14,418.0,0,0,0,1,0,2,22,0.0,0.0,0.15,0.01,0
Ibrahim Alani,NGA,MT,18,3,160.0,0,0,0,0,0,2,5,0.0,0.0,0.01,0.0,0
Raúl Chasco,ESP,DF,20,2,130.0,0,0,0,0,0,1,3,0.0,0.0,0.0,0.02,0
Arnau Rafús,ESP,GB,21,1,90.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0
Iago Parente,ESP,DF,18,1,71.0,0,0,0,0,0,0,4,0.0,0.0,0.0,0.04,0
Xavier Moreno,ESP,AT,19,1,45.0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0
Jonathan Tah,GER,DF,28,33,313.0,3,0,0,3,0,15,169,0.09,0.0,0.03,0.01,1
Granit Xhaka,SUI,MT,31,33,313.0,2,7,0,3,0,42,318,0.06,0.22,0.03,0.14,1
Álex Grimaldo,ESP,DF,28,32,313.0,2,7,0,6,1,86,160,0.07,0.24,0.09,0.28,1
Lukáš Hrádecký,FIN,GB,34,29,313.0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0
Edmond Tapsoba,BFA,DF,25,29,313.0,0,0,0,4,0,52,164,0.0,0.0,0.04,0.01,0
Piero Hincapié,ECU,DF,22,32,313.0,2,2,0,8,0,52,152,0.07,0.07,0.1,0.11,1
Florian Wirtz,GER,"MT,AT",21,31,313.0,10,12,2,3,0,131,176,0.38,0.46,0.36,0.27,1
Patrik Schick,CZE,AT,28,31,313.0,21,0,1,4,0,7,21,1.12,0.0,0.68,0.03,1
Robert Andrich,GER,"MT,DF",29,23,313.0,2,2,0,7,0,8,65,0.11,0.11,0.07,0.02,1
Aleix García,ESP,MT,27,28,313.0,3,4,0,3,0,27,120,0.19,0.25,0.06,0.3,1
Nathan Tella,NGA,"MT,AT",25,27,313.0,2,4,0,1,0,38,22,0.13,0.26,0.2,0.1,1
Victor Boniface,NGA,AT,23,19,313.0,8,1,0,2,0,26,23,0.71,0.09,0.7,0.1,1
Exequiel Palacios,ARG,MT,25,24,313.0,1,6,0,2,0,15,97,0.08,0.47,0.12,0.18,1
Nordi Mukiele,FRA,DF,26,15,899.0,1,0,0,4,0,20,36,0.1,0.0,0.14,0.1,1
Arthur,BRA,DF,21,20,752.0,0,1,0,1,0,15,25,0.0,0.12,0.01,0.04,0
Martin Terrier,FRA,"MT,AT",27,15,584.0,2,1,0,1,0,11,14,0.31,0.15,0.38,0.14,1
Amine Adli,MAR,"MT,AT",24,20,766.0,2,0,0,3,0,37,24,0.23,0.0,0.32,0.08,1
Matej Kovar,CZE,GB,24,5,450.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0
Jonas Hofmann,GER,"MT,DF",32,11,356.0,2,1,0,1,0,10,14,0.51,0.25,0.25,0.11,1
Mario Hermoso,ESP,DF,29,4,293.0,0,0,0,0,0,2,20,0.0,0.0,0.11,0.06,0
Emi Buendía,ARG,MT,27,11,257.0,2,0,0,0,0,2,14,0.7,0.0,0.31,0.3,1
Arthur Theate,BEL,DF,24,31,313.0,0,0,0,6,1,50,171,0.0,0.0,0.08,0.03,0
Hugo Ekitike,FRA,AT,22,33,313.0,15,8,1,1,0,93,53,0.53,0.28,0.76,0.24,1
Robin Koch,GER,DF,28,30,313.0,3,0,0,3,0,9,93,0.1,0.0,0.06,0.01,1
Rasmus Kristensen,DEN,DF,27,30,313.0,5,3,0,4,0,51,172,0.18,0.11,0.09,0.11,1
Hugo Larsson,SWE,MT,20,33,313.0,3,1,0,2,0,16,121,0.11,0.04,0.12,0.08,1
Kevin Trapp,GER,GB,34,26,313.0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0
Ellyes Skhiri,TUN,MT,29,30,313.0,1,2,0,6,0,17,105,0.04,0.08,0.06,0.06,1
Ansgar Knauff,GER,"MT,DF",22,30,313.0,4,5,0,3,0,53,58,0.23,0.28,0.28,0.29,1
Mario Götze,GER,"MT,AT",32,24,313.0,3,2,0,1,0,29,88,0.18,0.12,0.17,0.18,1
Omar Marmoush,EGY,AT,25,17,313.0,15,9,2,2,0,73,50,0.93,0.56,0.55,0.39,1
Nnamdi Collins,GER,DF,20,24,313.0,1,1,0,4,0,30,63,0.06,0.06,0.05,0.06,1
Fares Chaïbi,ALG,"MT,AT",21,26,313.0,1,3,0,2,0,20,52,0.09,0.27,0.23,0.26,1
Jean Mattéo Bahoya,FRA,"MT,AT",19,24,921.0,2,3,0,3,0,24,28,0.2,0.29,0.18,0.17,1
Kauã Santos,BRA,GB,21,9,765.0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0
Oscar Højlund,DEN,MT,19,20,722.0,1,0,0,0,0,17,49,0.12,0.0,0.12,0.13,1
Can Uzun,TUR,"MT,AT",18,20,675.0,4,1,0,1,0,11,42,0.53,0.13,0.4,0.15,1
Mahmoud Dahoud,GER,MT,28,9,364.0,1,1,0,2,0,1,17,0.25,0.25,0.13,0.18,1
Michy Batshuayi,BEL,AT,30,10,300.0,3,0,0,2,0,3,8,0.9,0.0,0.36,0.01,1
Junior Dina Ebimbe,FRA,"MT,AT",23,7,293.0,0,1,0,0,0,5,3,0.0,0.31,0.26,0.29,0
Igor Matanovic,CRO,AT,21,16,312.0,1,0,0,0,0,2,6,0.29,0.0,0.33,0.01,1
Aurele Amenda,SUI,DF,21,8,96.0,0,0,0,1,0,1,2,0.0,0.0,0.0,0.23,0
Timothy Chandler,USA,DF,34,3,24.0,0,0,0,0,0,1,3,0.0,0.0,0.0,0.0,0
Maximilian Eggestein,GER,MT,27,33,313.0,2,0,0,4,0,34,141,0.06,0.0,0.06,0.05,1
Philipp Lienhart,AUT,DF,28,32,313.0,1,0,0,5,0,44,138,0.03,0.0,0.02,0.02,1
Matthias Ginter,GER,DF,30,32,313.0,2,1,0,5,0,11,113,0.07,0.04,0.1,0.02,1
Christian Günter,GER,DF,31,29,313.0,2,2,0,0,0,19,52,0.08,0.08,0.03,0.1,1
Patrick Osterhage,GER,MT,24,30,313.0,1,0,0,6,1,26,73,0.04,0.0,0.07,0.06,1
Noah Atubolu,GER,GB,22,26,313.0,0,0,0,2,0,0,2,0.0,0.0,0.0,0.0,0
Lukas Kübler,GER,DF,31,28,313.0,5,1,0,5,0,24,78,0.24,0.05,0.13,0.04,1
Junior Adamu,AUT,AT,23,25,313.0,2,2,0,5,1,8,14,0.12,0.12,0.32,0.14,1
Max Rosenfelder,GER,DF,21,25,313.0,1,0,0,2,0,24,29,0.07,0.0,0.03,0.05,1
Eren Dinkçi,GER,"MT,AT",22,23,313.0,0,3,0,1,0,33,35,0.0,0.23,0.09,0.16,0
Merlin Röhl,GER,"MT,AT",22,19,965.0,0,1,0,2,0,20,22,0.0,0.09,0.07,0.16,0
Kiliann Sildillia,FRA,DF,22,21,801.0,2,0,0,2,0,11,29,0.22,0.0,0.05,0.07,1
Florian Müller,GER,GB,26,9,753.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0
Nicolas Höfler,GER,MT,34,20,794.0,0,0,0,3,0,1,30,0.0,0.0,0.03,0.01,0
Jordy Makengo,FRA,DF,22,19,745.0,0,0,0,1,0,9,15,0.0,0.0,0.0,0.03,0
Michael Gregoritsch,AUT,AT,30,20,639.0,2,1,0,2,0,6,19,0.28,0.14,0.25,0.06,1
Noah Weißhaupt,GER,AT,22,3,80.0,0,0,0,0,0,8,6,0.0,0.0,0.05,0.0,0
Ifechukwu Ogbus,SUI,DF,18,2,19.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0
Maximilian Philipp,GER,"MT,AT",30,2,17.0,0,0,0,0,0,0,0,0.0,0.0,0.22,0.0,0
Kaishu Sano,JPN,MT,23,34,313.0,0,0,0,3,0,53,159,0.0,0.0,0.03,0.04,0
Anthony Caci,FRA,DF,27,33,313.0,1,7,0,6,0,45,133,0.03,0.23,0.1,0.22,1
Robin Zentner,GER,GB,29,32,313.0,0,0,0,3,0,0,2,0.0,0.0,0.0,0.01,0
Phillipp Mwene,AUT,DF,30,32,313.0,1,4,0,7,0,62,106,0.03,0.14,0.05,0.06,1
Lee Jae-sung,KOR,MT,31,33,313.0,7,6,0,4,0,28,105,0.24,0.2,0.18,0.17,1
Nadiem Amiri,GER,MT,27,30,313.0,7,5,2,9,2,50,204,0.25,0.18,0.2,0.24,1
Jonathan Burkardt,GER,AT,24,29,313.0,18,2,2,0,0,32,42,0.77,0.09,0.63,0.13,1
Paul Nebel,GER,MT,21,31,313.0,10,4,0,5,1,67,91,0.38,0.15,0.22,0.16,1
Danny da Costa,GER,DF,31,25,313.0,0,1,0,0,0,21,109,0.0,0.04,0.0,0.03,0
Moritz Jenz,GER,DF,25,19,313.0,0,0,0,4,0,1,47,0.0,0.0,0.09,0.01,0
Stefan Bell,GER,DF,32,18,313.0,0,1,0,4,0,8,38,0.0,0.06,0.05,0.06,0
Andreas Hanche-Olsen,NOR,DF,27,22,313.0,1,1,0,4,1,2,34,0.07,0.07,0.06,0.02,1
Maxim Leitsch,GER,DF,26,14,674.0,1,0,0,2,0,4,25,0.13,0.0,0.16,0.03,1
Hong Hyunseok,KOR,MT,25,23,530.0,0,1,0,0,0,10,23,0.0,0.17,0.08,0.25,0
Silvan Widmer,SUI,DF,31,27,504.0,0,1,0,3,0,3,23,0.0,0.18,0.06,0.07,0
Lasse Rieß,GER,GB,23,2,180.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0
Karim Onisiwo,AUT,"MT,AT",32,6,110.0,0,0,0,0,0,1,0,0.0,0.0,0.06,0.27,0
Aymen Barkok,MAR,MT,26,4,73.0,0,0,0,0,0,2,5,0.0,0.0,0.0,0.17,0
Lennard Maloney,USA,MT,24,5,26.0,0,0,0,1,0,1,0,0.0,0.0,0.0,0.0,0
Gabriel Vidovic,CRO,MT,20,1,4.0,0,0,0,0,0,0,0,0.0,0.0,1.17,0.0,0
Péter Gulácsi,HUN,GB,34,30,313.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0
Willi Orban,HUN,DF,31,25,313.0,5,0,0,4,2,15,106,0.2,0.0,0.16,0.04,1
Xavi Simons,NED,MT,21,25,313.0,10,6,0,5,0,85,140,0.42,0.25,0.21,0.26,1
David Raum,GER,DF,26,22,313.0,1,5,0,5,0,36,71,0.05,0.25,0.02,0.33,1
Nicolas Seiwald,AUT,"MT,DF",23,30,313.0,0,0,0,2,0,17,140,0.0,0.0,0.01,0.08,0
Lukas Klostermann,GER,DF,28,28,313.0,1,0,0,5,0,16,83,0.05,0.0,0.02,0.01,1
Christoph Baumgartner,AUT,MT,24,31,313.0,2,1,0,5,0,37,53,0.11,0.06,0.25,0.07,1
Kevin Kampl,SVN,MT,33,26,313.0,1,0,0,5,0,21,106,0.06,0.0,0.05,0.08,1
Castello Lukeba,FRA,DF,21,23,313.0,0,0,0,2,0,18,80,0.0,0.0,0.02,0.01,0
Arthur Vermeeren,BEL,MT,19,28,313.0,0,2,0,7,0,14,77,0.0,0.11,0.02,0.05,0
Lutsharel Geertruida,NED,DF,24,24,313.0,1,0,0,2,0,21,93,0.06,0.0,0.06,0.06,1
Antonio Nusa,NOR,"MT,DF",19,25,313.0,3,3,0,0,0,57,52,0.17,0.17,0.09,0.16,1
Amadou Haidara,MLI,MT,26,28,313.0,0,1,0,7,0,7,65,0.0,0.07,0.09,0.06,0
El Chadaille Bitshiabu,FRA,DF,19,21,313.0,0,0,0,2,1,4,69,0.0,0.0,0.02,0.03,0
Benjamin Henrichs,GER,DF,27,15,935.0,0,2,0,3,0,9,29,0.0,0.19,0.05,0.14,0
Kosta Nedeljković,SRB,DF,18,10,479.0,0,0,0,1,0,10,16,0.0,0.0,0.09,0.05,0
Maarten Vandevoordt,BEL,GB,22,6,429.0,0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0
Xaver Schlager,AUT,MT,26,4,181.0,0,0,0,1,0,5,6,0.0,0.0,0.03,0.35,0
Tidiam Gomis,FRA,"MT,AT",17,8,152.0,0,1,0,2,0,5,3,0.0,0.59,0.15,0.55,0
Mohamed Simakan,FRA,DF,24,1,54.0,0,0,0,0,0,3,7,0.0,0.0,0.0,0.46,0
Assan Ouedraogo,GER,MT,18,3,50.0,0,0,0,0,0,2,1,0.0,0.0,0.11,0.0,0
Elif Elmas,MKD,MT,24,2,44.0,0,0,0,1,0,0,2,0.0,0.0,0.7,0.0,0
Viggo Gebel,GER,MT,16,1,14.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0
Faik Sakar,GER,MT,16,1,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0
Michael Zetterer,GER,GB,29,34,313.0,0,0,0,2,0,0,3,0.0,0.0,0.0,0.0,0
Romano Schmid,AUT,MT,24,32,313.0,5,4,1,4,0,107,279,0.16,0.13,0.14,0.2,1
Senne Lynen,BEL,MT,25,32,313.0,0,1,0,9,0,9,91,0.0,0.03,0.04,0.02,0
Marvin Ducksch,GER,AT,30,32,313.0,8,8,1,3,0,26,86,0.3,0.3,0.38,0.31,1
Jens Stage,DEN,MT,27,28,313.0,10,5,0,10,0,28,104,0.41,0.2,0.29,0.12,1
Marco Friedl,AUT,DF,26,26,313.0,0,0,0,10,2,4,69,0.0,0.0,0.02,0.01,0
Niklas Stark,GER,DF,29,26,313.0,0,1,0,6,1,7,62,0.0,0.04,0.05,0.0,0
Felix Agu,NGA,DF,24,22,313.0,3,0,0,1,0,33,43,0.15,0.0,0.07,0.09,1
Anthony Jung,GER,DF,32,28,313.0,0,0,0,1,0,20,121,0.0,0.0,0.0,0.0,0
Amos Pieper,GER,DF,26,23,313.0,0,0,0,3,0,11,62,0.0,0.0,0.03,0.04,0
Miloš Veljković,SRB,DF,28,14,313.0,0,1,0,1,0,9,64,0.0,0.09,0.05,0.01,0
Leonardo Bittencourt,GER,MT,30,27,982.0,2,1,0,3,0,19,64,0.18,0.09,0.15,0.14,1
Oliver Burke,SCO,AT,27,25,908.0,5,0,0,4,0,22,15,0.5,0.0,0.41,0.17,1
Julián Malatini,ARG,DF,23,10,454.0,1,1,0,1,0,8,24,0.2,0.2,0.05,0.09,1
André Silva,POR,AT,28,7,375.0,1,0,1,1,0,6,10,0.24,0.0,0.62,0.09,1
Skelly Alvero,FRA,MT,22,12,236.0,0,0,0,1,0,1,8,0.0,0.0,0.01,0.0,0
Olivier Deman,BEL,DF,24,9,67.0,0,0,0,1,0,2,4,0.0,0.0,0.0,0.15,0
Alexander Nübel,GER,GB,27,34,313.0,0,1,0,0,0,0,0,0.0,0.03,0.0,0.01,0
Angelo Stiller,GER,MT,23,32,313.0,1,8,0,6,0,39,289,0.03,0.26,0.06,0.24,1
Maximilian Mittelstädt,GER,DF,27,31,313.0,1,7,0,5,0,62,182,0.04,0.26,0.03,0.17,1
Julian Chabot,GER,DF,26,31,313.0,3,1,0,11,1,7,108,0.12,0.04,0.08,0.02,1
Chris Führich,GER,"MT,AT",26,33,313.0,2,3,0,1,0,114,95,0.09,0.14,0.13,0.17,1
Enzo Millot,FRA,"MT,AT",22,29,313.0,6,5,0,9,0,44,118,0.29,0.24,0.37,0.15,1
Jamie Leweling,GER,"MT,AT",23,27,313.0,2,2,0,4,0,55,51,0.11,0.11,0.08,0.21,1
Ermedin Demirović,BIH,AT,26,34,313.0,15,1,0,2,0,20,31,0.73,0.05,0.69,0.09,1
Anthony Rouault,FRA,DF,23,18,313.0,1,0,0,1,0,6,52,0.07,0.0,0.04,0.02,1
Leonidas Stergiou,SUI,DF,22,12,852.0,1,2,0,0,1,11,39,0.11,0.21,0.11,0.1,1
Ramon Hendriks,NED,DF,23,25,313.0,0,1,0,3,0,8,36,0.0,0.08,0.04,0.08,0
Finn Jeltsch,GER,DF,18,12,780.0,0,0,0,2,0,8,31,0.0,0.0,0.01,0.01,0
Fabian Rieder,SUI,"MT,AT",22,21,867.0,1,3,0,1,0,20,38,0.1,0.31,0.14,0.21,1
Anrie Chase,JPN,DF,20,12,734.0,0,0,0,1,0,6,28,0.0,0.0,0.02,0.0,0
Ameen Al-Dakhil,BEL,DF,22,7,432.0,0,0,0,0,1,1,12,0.0,0.0,0.01,0.04,0
Pascal Stenzel,GER,DF,28,10,290.0,0,0,0,0,0,2,12,0.0,0.0,0.1,0.17,0
Jacob Bruun Larsen,DEN,"MT,AT",25,15,414.0,1,0,0,1,0,19,19,0.22,0.0,0.13,0.27,1
Yannik Keitel,GER,MT,24,11,270.0,0,0,0,1,0,2,11,0.0,0.0,0.18,0.01,0
Luca Jaquez,SUI,DF,21,5,253.0,0,0,0,0,0,5,18,0.0,0.0,0.08,0.0,0
Frans Krätzig,GER,DF,21,1,56.0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0
Nikolas Nartey,DEN,MT,24,1,22.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0
Jarzinho Malanga,GER,DF,18,1,2.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0
Julian Weigl,GER,MT,28,33,313.0,0,2,0,8,0,11,122,0.0,0.06,0.02,0.03,0
Ko Itakura,JPN,DF,27,31,313.0,3,0,0,5,0,23,69,0.1,0.0,0.05,0.03,1
Tim Kleindienst,GER,AT,28,31,313.0,16,7,1,5,1,45,63,0.53,0.23,0.45,0.2,1
Joe Scally,USA,DF,21,32,313.0,0,0,0,6,0,52,68,0.0,0.0,0.01,0.04,0
Nico Elvedi,SUI,DF,27,25,313.0,1,1,0,1,0,20,55,0.04,0.04,0.09,0.02,1
Lukas Ullrich,GER,DF,20,26,313.0,1,2,0,4,0,31,39,0.05,0.09,0.04,0.09,1
Alassane Pléa,FRA,"MT,AT",31,30,313.0,11,4,1,3,0,51,116,0.52,0.19,0.35,0.15,1
Rocco Reitz,GER,MT,22,27,313.0,2,1,0,1,0,18,91,0.1,0.05,0.08,0.1,1
Moritz Nicolas,GER,GB,26,19,313.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0
Franck Honorat,FRA,AT,27,19,313.0,4,7,0,0,0,63,45,0.25,0.44,0.28,0.33,1
Kevin Stöger,AUT,MT,30,31,313.0,3,3,2,3,0,40,121,0.17,0.17,0.22,0.31,1
Philipp Sander,GER,MT,26,27,313.0,1,0,0,2,0,16,60,0.06,0.0,0.08,0.04,1
Jonas Omlin,SUI,GB,30,12,978.0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0
Marvin Friedrich,GER,DF,28,22,989.0,0,1,0,0,0,11,36,0.0,0.09,0.04,0.06,0
Nathan N'Goumou,CMR,AT,24,19,828.0,2,1,0,0,0,30,16,0.22,0.11,0.2,0.14,1
Luca Netz,GER,DF,21,24,969.0,0,2,0,2,0,16,28,0.0,0.19,0.02,0.18,0
Tomáš Čvančara,CZE,AT,23,28,831.0,2,0,0,5,1,15,23,0.22,0.0,0.41,0.1,1
Stefan Lainer,AUT,DF,31,21,757.0,1,0,0,2,0,25,25,0.12,0.0,0.04,0.12,1
Tiago Cardoso,LUX,GB,18,5,380.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0
Fabio Chiarodia,ITA,DF,19,16,379.0,1,0,0,0,0,1,10,0.24,0.0,0.07,0.1,1
Florian Neuhaus,GER,MT,27,18,382.0,0,1,0,1,0,10,27,0.0,0.24,0.14,0.08,0
Shiō Fukuda,JPN,AT,20,6,60.0,1,0,0,0,0,0,1,1.5,0.0,0.65,0.0,1
Tobias Sippel,GER,GB,36,1,59.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0
Grant Ranos,ARM,AT,21,2,20.0,0,0,0,1,0,1,1,0.0,0.0,0.0,0.0,0
Noah Pesch,CRO,AT,19,1,6.0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0
Kamil Grabara,POL,GB,25,29,313.0,0,0,0,2,0,0,2,0.0,0.0,0.0,0.0,0
Mohamed Amoura,ALG,AT,24,31,313.0,10,9,2,6,0,81,61,0.36,0.33,0.32,0.15,1
Kilian Fischer,GER,DF,23,32,313.0,1,0,0,7,0,51,110,0.04,0.0,0.01,0.02,1
Konstantinos Koulierakis,GRE,DF,20,30,313.0,0,2,0,4,0,20,104,0.0,0.07,0.03,0.04,0
Denis Vavro,SVK,DF,28,29,313.0,2,0,0,4,0,9,96,0.07,0.0,0.05,0.01,1
Maximilian Arnold,GER,MT,30,28,313.0,3,5,0,7,1,9,128,0.11,0.19,0.03,0.13,1
Joakim Mæhle,DEN,DF,27,28,313.0,3,4,0,6,0,59,88,0.12,0.16,0.08,0.09,1
Patrick Wimmer,AUT,"MT,AT",23,29,313.0,3,4,0,5,1,46,91,0.15,0.2,0.19,0.15,1
Bence Dárdai,HUN,MT,18,21,313.0,1,1,0,0,0,5,39,0.07,0.07,0.07,0.07,1
Yannick Gerhardt,GER,"MT,DF",30,29,313.0,1,1,0,5,1,27,57,0.06,0.06,0.07,0.01,1
Mattias Svanberg,SWE,MT,25,20,313.0,3,1,0,4,0,11,36,0.22,0.07,0.27,0.13,1
Sebastiaan Bornauw,BEL,DF,25,15,788.0,2,1,0,2,0,3,21,0.23,0.11,0.14,0.06,1
Aster Vranckx,BEL,MT,21,14,556.0,0,0,0,1,0,5,20,0.0,0.0,0.0,0.01,0
Cedric Zesiger,SUI,DF,26,7,522.0,0,0,0,4,0,3,19,0.0,0.0,0.01,0.0,0
Marius Müller,GER,GB,31,6,475.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0
Salih Özcan,TUR,MT,26,11,353.0,0,0,0,0,0,6,22,0.0,0.0,0.03,0.2,0
Lovro Majer,CRO,MT,26,9,304.0,2,1,1,1,0,8,17,0.59,0.3,0.41,0.31,1
