Player,Nation,Position,Age,Matches Played,Minutes,Goals,Assists,Penalty Goals Made,Yellow Cards,Red Cards,Progressive Carries,Progressive Passes,Goals Per 90,Assists Per 90,xG Per 90,xAG Per 90,High_Performer
Marc Casado,ESP,MT,20,23,313.0,1,3,0,4,1,12,107,0.06,0.17,0.06,0.08,1
Iñaki Peña,ESP,GB,25,16,313.0,0,0,0,1,0,0,3,0.0,0.0,0.0,0.0,0
Wojciech Szczęsny,POL,GB,34,15,313.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0
Gavi,ESP,"MT,AT",19,26,313.0,1,1,0,4,0,13,77,0.08,0.08,0.07,0.13,1
Dani Olmo,ESP,"MT,AT",26,25,313.0,10,3,2,1,0,33,81,0.74,0.22,0.48,0.22,1
Fermin López,ESP,"MT,AT",21,28,313.0,6,5,0,4,1,31,79,0.43,0.36,0.41,0.28,1
Gerard Martín,ESP,DF,22,28,313.0,1,3,0,2,0,10,40,0.09,0.26,0.04,0.1,1
Ronald Araújo,URU,DF,25,12,754.0,1,1,0,3,0,6,49,0.12,0.12,0.11,0.05,1
Frenkie de Jong,NED,MT,27,26,313.0,2,2,0,3,0,36,120,0.16,0.16,0.05,0.16,1
Marc-André ter Stegen,GER,GB,32,8,674.0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0
Héctor Fort,ESP,DF,17,17,585.0,0,0,0,2,0,14,26,0.0,0.0,0.04,0.13,0
Pablo Torre,ESP,"MT,AT",21,10,310.0,3,1,0,0,0,5,17,0.87,0.29,0.11,0.23,1
Marc Bernal,ESP,MT,17,3,242.0,0,0,0,2,0,0,8,0.0,0.0,0.03,0.01,0
Ansu Fati,ESP,AT,21,6,233.0,0,0,0,1,0,7,6,0.0,0.0,0.38,0.06,0
Pau Victor,ESP,AT,22,21,319.0,2,1,0,2,0,6,11,0.56,0.28,0.85,0.24,1
Andreas Christensen,DEN,DF,28,5,254.0,0,0,0,3,0,1,15,0.0,0.0,0.01,0.01,0
Sergi Dominguez,ESP,DF,19,3,172.0,0,0,0,1,0,0,13,0.0,0.0,0.0,0.0,0
Daniel Rodriguez,ESP,AT,18,1,37.0,0,0,0,0,0,4,2,0.0,0.0,0.06,0.0,0
Iñaki Williams,GHA,AT,30,35,313.0,6,8,0,1,0,107,76,0.2,0.27,0.26,0.27,1
Daniel Vivian,ESP,DF,25,32,313.0,4,0,0,3,0,36,185,0.14,0.0,0.07,0.01,1
Mikel Jauregizar,ESP,MT,20,34,313.0,2,1,0,4,1,14,118,0.08,0.04,0.04,0.06,1
Yuri Berchiche,ESP,DF,34,30,313.0,0,2,0,5,0,43,161,0.0,0.09,0.02,0.1,0
Nico Williams,ESP,AT,22,29,313.0,5,5,0,1,0,118,69,0.23,0.23,0.19,0.16,1
Unai Simón,ESP,GB,27,21,313.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0
Gorka Guruzeta,ESP,AT,27,36,313.0,7,2,0,2,0,8,31,0.34,0.1,0.33,0.07,1
Aitor Paredes,ESP,DF,24,23,313.0,3,0,0,4,1,4,46,0.15,0.0,0.11,0.0,1
Beñat Prados,ESP,MT,23,30,313.0,1,0,0,7,0,20,78,0.05,0.0,0.05,0.06,1
Yeray Álvarez,ESP,DF,29,21,313.0,1,0,0,4,0,19,105,0.05,0.0,0.02,0.01,1
Oihan Sancet,ESP,MT,24,29,313.0,15,1,3,2,0,52,90,0.83,0.06,0.54,0.1,1
Óscar de Marcos,ESP,DF,35,26,313.0,0,4,0,0,0,26,102,0.0,0.23,0.06,0.15,0
Andoni Gorosabel,ESP,DF,27,20,313.0,0,2,0,5,0,17,51,0.0,0.12,0.02,0.11,0
Unai Gómez,ESP,"MT,AT",21,32,313.0,1,3,0,1,0,19,23,0.07,0.21,0.13,0.06,1
Julen Agirrezabala,ESP,GB,23,14,313.0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0
Mikel Vesga,ESP,MT,31,25,988.0,0,0,0,1,0,10,64,0.0,0.0,0.11,0.09,0
Iñigo Lekue,ESP,DF,31,16,773.0,0,0,0,1,0,13,35,0.0,0.0,0.02,0.06,0
Maroan Sannadi,MAR,AT,23,16,754.0,1,1,0,0,0,21,15,0.12,0.12,0.41,0.07,1
Álvaro djaló,ESP,AT,24,17,659.0,1,0,0,2,0,22,13,0.14,0.0,0.11,0.12,1
Unai Núñez,ESP,DF,27,10,645.0,0,0,0,4,0,2,26,0.0,0.0,0.03,0.01,0
Alex Padilla,ESP,GB,20,5,321.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0
Ander Herrera,ESP,MT,34,8,273.0,0,0,0,2,0,2,16,0.0,0.0,0.57,0.04,0
Peio Canales,ESP,"MT,AT",19,8,259.0,0,0,0,0,0,6,6,0.0,0.0,0.07,0.08,0
Nicolás Serrano,ESP,AT,21,4,112.0,0,0,0,0,0,2,4,0.0,0.0,0.13,0.02,0
Aingeru Olabarrieta,ESP,AT,18,1,54.0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0
Adu Ares,ESP,AT,22,1,19.0,0,0,0,0,0,1,3,0.0,0.0,0.0,0.0,0
Endika Buján,ESP,AT,21,1,7.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0
Sergi Cardona,ESP,DF,25,35,313.0,1,7,0,11,0,52,77,0.03,0.21,0.07,0.18,1
Alex Baena,ESP,"MT,AT",23,32,313.0,7,9,0,9,0,91,189,0.24,0.31,0.25,0.41,1
Santi Comesaña,ESP,MT,27,35,313.0,4,2,0,7,0,39,154,0.14,0.07,0.16,0.07,1
Logan Costa,CPV,DF,23,32,313.0,2,1,0,3,0,25,116,0.07,0.03,0.02,0.02,1
Kiko Femenía,ESP,DF,33,28,313.0,0,1,0,7,0,52,112,0.0,0.04,0.01,0.05,0
Daniel Parejo,ESP,MT,35,36,313.0,3,3,1,8,0,19,176,0.12,0.12,0.1,0.07,1
Pape Gueye,SEN,MT,25,34,313.0,4,0,0,6,2,36,156,0.16,0.0,0.14,0.04,1
Thierno Barry,FRA,AT,21,35,313.0,11,4,1,4,0,44,27,0.43,0.15,0.48,0.11,1
Yeremi Pino,ESP,"MT,AT",21,34,313.0,4,7,0,11,0,42,66,0.19,0.33,0.18,0.25,1
Ayoze Pérez,ESP,AT,31,30,313.0,19,2,0,4,0,59,73,0.87,0.09,0.58,0.13,1
Diego Conde,ESP,GB,25,22,313.0,0,1,0,2,0,0,0,0.0,0.05,0.0,0.01,0
